id,recency,history_segment,history,mens,womens,region,newbie,channel
30118,7,1,29.99,0,1,1,1,0
30119,5,4,424.49,0,1,0,0,2
30120,2,1,67.63,1,0,0,0,0
30121,2,3,201.3,1,1,1,0,1
30122,9,1,31.5,0,1,1,1,0
30123,2,2,149.2,0,1,1,0,0
30124,1,1,49.71,1,0,1,0,0
30125,1,3,257.93,0,1,0,0,1
30126,9,2,124.52,0,1,1,0,0
30127,2,1,30.13,0,1,1,0,0
30128,2,3,270.15,1,1,1,1,1
30129,10,1,34.05,1,0,1,0,0
30130,3,1,29.99,0,1,1,0,0
30131,2,6,842.06,0,1,1,1,0
30132,11,1,85.95,0,1,1,1,0
30133,4,1,57.73,1,0,1,1,0
30134,1,4,419.67,0,1,2,0,2
30135,7,3,302.55,1,0,1,0,0
30136,10,1,29.99,0,1,0,1,0
30137,7,1,29.99,1,0,1,0,1
30138,1,1,59.28,0,1,1,1,1
30139,8,3,272.89,1,0,0,0,0
30140,3,2,102.29,1,0,1,1,1
30141,9,1,29.99,0,1,0,0,0
30142,10,1,33.5,1,0,0,1,0
30143,4,6,934.39,1,0,1,1,1
30144,2,5,600.39,0,1,0,1,1
30145,9,5,552.89,0,1,1,1,2
30146,5,1,29.99,1,0,1,0,1
30147,1,2,138.65,0,1,2,1,1
30148,8,4,387.24,1,1,2,1,0
30149,2,2,103.63,1,0,0,1,0
30150,9,1,81.6,0,1,2,0,0
30151,7,2,105.76,0,1,0,0,1
30152,12,3,220.21,1,0,0,0,2
30153,4,4,364.76,0,1,1,0,0
30154,2,2,106.5,1,0,0,1,1
30155,3,2,143.93,0,1,1,0,1
30156,1,4,454.18,1,0,0,0,1
30157,11,3,224.31,0,1,0,1,1
30158,9,1,98.44,1,0,1,1,1
30159,11,2,194.78,1,0,1,1,1
30160,4,4,362.38,0,1,0,0,0
30161,1,2,152.55,1,0,1,0,0
30162,11,2,136.57,1,0,2,0,1
30163,1,1,72.2,1,0,1,1,0
30164,5,1,29.99,0,1,1,1,1
30165,1,3,220.48,1,1,1,0,1
30166,1,7,1716.01,1,1,2,1,2
30167,5,2,196.71,1,0,2,0,1
30168,2,2,178.5,0,1,0,1,0
30169,10,2,132.99,1,0,0,0,1
30170,5,1,29.99,0,1,2,0,1
30171,6,2,169.18,1,0,2,0,1
30172,8,2,197.3,0,1,0,1,1
30173,8,2,176.54,0,1,0,1,0
30174,2,3,225.36,0,1,0,0,1
30175,8,2,135.63,0,1,1,1,1
30176,7,2,106.24,0,1,1,1,0
30177,7,1,85.04,1,0,2,0,0
30178,8,1,29.99,0,1,0,0,0
30179,7,2,115.01,0,1,1,1,1
30180,1,4,474.9,0,1,0,1,2
30181,1,3,267.47,1,0,1,0,1
30182,9,4,391.74,1,1,0,0,0
30183,6,3,242.45,1,0,0,0,2
30184,10,1,86.18,0,1,0,1,0
30185,8,1,98.23,0,1,0,0,1
30186,1,2,144.01,0,1,1,0,1
30187,6,1,41.33,0,1,1,0,0
30188,4,4,445.64,1,0,0,0,2
30189,1,4,441.14,1,1,1,0,0
30190,5,5,601.39,1,1,1,1,1
30191,3,3,262.0,1,1,0,0,1
30192,11,5,525.81,1,0,1,1,1
30193,6,2,165.05,0,1,1,1,1
30194,5,4,450.42,0,1,1,0,1
30195,1,4,394.1,1,0,1,0,2
30196,4,2,161.66,0,1,2,1,0
30197,3,3,210.87,0,1,2,1,2
30198,7,2,148.71,1,0,1,0,1
30199,4,3,344.22,1,1,0,0,1
30200,6,2,110.24,0,1,2,1,0
30201,6,6,964.65,0,1,1,1,2
30202,1,6,913.36,1,1,0,1,1
30203,12,1,64.95,0,1,0,1,0
30204,6,3,230.91,0,1,1,1,1
30205,5,3,210.45,1,1,1,1,0
30206,8,1,29.99,1,0,1,1,1
30207,9,2,176.45,1,0,2,0,1
30208,3,3,317.35,1,0,1,0,1
30209,12,4,441.55,1,1,0,1,0
30210,6,3,224.81,0,1,0,1,1
30211,4,2,187.59,1,0,1,1,0
30212,2,6,783.28,1,1,1,1,0
30213,12,2,143.22,0,1,2,0,0
30214,9,1,41.28,0,1,1,0,1
30215,5,2,175.87,0,1,2,1,1
30216,10,1,29.99,1,0,2,1,0
30217,10,1,49.51,1,0,0,0,1
30218,1,5,731.39,1,1,1,1,0
30219,8,2,144.85,0,1,0,1,0
30220,3,2,139.41,0,1,1,1,0
30221,12,2,176.7,0,1,2,1,0
30222,7,3,292.95,0,1,1,1,0
30223,11,4,382.26,0,1,0,0,0
30224,4,2,168.06,1,0,0,1,1
30225,9,1,71.41,0,1,1,1,0
30226,10,2,197.85,0,1,0,0,0
30227,4,1,82.53,1,0,0,1,0
30228,5,1,29.99,1,0,1,1,1
30229,3,3,288.7,1,0,1,0,1
30230,10,5,654.23,1,1,1,1,1
30231,4,1,69.35,0,1,1,0,0
30232,6,1,38.72,0,1,2,1,1
30233,4,1,98.98,1,0,0,0,0
30234,7,1,39.17,1,0,2,0,1
30235,8,1,70.56,1,0,1,1,1
30236,1,5,623.36,0,1,2,1,2
30237,1,5,616.73,0,1,0,1,0
30238,3,2,171.52,0,1,2,0,1
30239,5,1,42.22,0,1,2,0,0
30240,9,1,29.99,1,0,1,0,1
30241,2,2,128.35,0,1,0,0,1
30242,5,3,238.99,1,0,1,0,1
30243,11,2,123.74,0,1,1,1,0
30244,6,4,402.26,1,0,0,0,0
30245,10,2,117.51,1,0,1,0,0
30246,9,2,164.28,0,1,1,0,1
30247,7,2,156.66,1,0,1,1,1
30248,5,2,156.13,1,0,0,0,0
30249,1,1,75.79,0,1,1,1,1
30250,8,3,287.78,0,1,1,0,0
30251,3,1,58.34,1,0,0,1,0
30252,9,1,29.99,1,0,1,0,1
30253,2,2,124.01,1,0,2,0,1
30254,6,1,62.79,1,0,1,0,0
30255,11,2,156.04,0,1,1,0,1
30256,8,5,658.72,1,1,1,1,1
30257,6,2,124.09,1,0,1,1,0
30258,6,1,93.72,0,1,1,0,0
30259,6,1,95.1,0,1,1,0,0
30260,9,2,167.81,0,1,0,1,1
30261,6,1,29.99,0,1,2,1,1
30262,5,7,1310.55,0,1,2,1,0
30263,11,1,79.78,1,0,0,0,0
30264,11,3,222.53,0,1,1,1,0
30265,1,4,414.68,1,0,1,0,1
30266,1,3,229.91,0,1,2,0,0
30267,1,1,29.99,1,0,1,1,0
30268,4,1,73.44,0,1,1,1,0
30269,1,5,544.11,0,1,0,1,0
30270,11,1,80.46,0,1,1,0,1
30271,10,3,206.79,1,1,1,1,0
30272,6,3,238.58,1,0,0,0,0
30273,5,3,208.42,1,0,1,0,2
30274,2,1,80.63,1,0,1,0,1
30275,2,5,681.7,1,1,2,1,2
30276,7,4,412.76,1,0,1,0,1
30277,7,4,368.43,1,0,2,0,0
30278,2,2,143.45,1,0,0,1,1
30279,8,4,460.74,0,1,1,0,1
30280,11,1,42.04,1,0,2,1,1
30281,4,1,29.99,1,0,0,1,0
30282,3,2,131.27,0,1,1,0,0
30283,11,5,532.06,1,0,0,1,1
30284,1,5,613.14,1,0,0,1,0
30285,1,2,127.52,0,1,0,1,0
30286,1,5,723.38,1,1,1,1,1
30287,5,1,29.99,1,0,2,1,0
30288,10,4,468.27,1,1,0,1,2
30289,5,5,509.58,1,1,0,1,1
30290,4,1,36.09,0,1,1,1,0
30291,9,1,33.08,0,1,0,0,0
30292,10,1,99.44,0,1,1,0,1
30293,2,3,345.82,1,0,0,0,1
30294,4,3,205.96,1,0,0,0,2
30295,4,1,34.42,0,1,2,1,1
30296,1,4,401.37,1,0,1,0,0
30297,3,7,1167.93,1,1,2,1,0
30298,10,1,29.99,1,0,1,0,1
30299,4,1,29.99,0,1,1,0,1
30300,9,1,43.23,0,1,1,0,1
30301,11,2,131.38,0,1,0,1,1
30302,12,1,33.32,0,1,1,0,1
30303,2,7,1072.64,1,1,0,1,2
30304,3,5,693.18,1,0,0,1,0
30305,1,1,74.5,1,0,2,0,0
30306,9,2,108.05,1,0,1,1,0
30307,8,2,192.48,0,1,0,1,0
30308,1,4,475.45,1,1,2,0,2
30309,6,1,56.34,1,0,2,0,0
30310,2,7,1000.81,1,1,0,1,2
30311,7,2,163.27,1,0,1,1,1
30312,3,1,69.39,1,0,0,1,1
30313,8,2,115.33,0,1,1,1,0
30314,3,2,189.48,1,0,0,0,1
30315,6,4,491.09,0,1,0,0,1
30316,1,1,29.99,0,1,0,0,1
30317,7,3,257.45,0,1,1,1,0
30318,11,2,128.81,0,1,1,0,1
30319,2,1,71.71,0,1,0,1,0
30320,5,1,84.88,1,0,1,1,1
30321,6,3,262.43,1,1,1,1,0
30322,8,6,848.47,1,1,2,1,0
30323,7,2,134.66,1,0,1,0,1
30324,7,4,378.35,0,1,1,0,0
30325,9,5,587.9,0,1,1,1,2
30326,3,6,803.87,1,0,0,1,2
30327,3,1,39.89,1,0,0,0,1
30328,10,2,193.91,0,1,1,0,1
30329,3,4,389.93,1,0,2,0,1
30330,2,3,275.86,1,1,0,0,0
30331,5,2,122.44,1,0,0,0,0
30332,7,1,75.4,0,1,2,0,0
30333,7,3,291.55,1,0,1,0,0
30334,5,1,51.03,1,0,0,1,1
30335,2,2,106.05,1,0,1,0,1
30336,9,1,98.52,0,1,1,0,0
30337,2,5,510.85,1,0,0,1,1
30338,12,3,204.97,1,0,0,0,2
30339,2,3,214.38,0,1,0,0,0
30340,1,7,1073.24,1,0,2,1,2
30341,10,1,56.56,0,1,0,0,0
30342,10,2,132.44,0,1,1,1,0
30343,2,4,445.73,0,1,2,0,0
30344,4,3,218.02,1,0,2,0,0
30345,1,1,81.26,0,1,2,1,1
30346,10,1,39.89,1,0,0,0,0
30347,12,1,53.13,1,0,1,0,1
30348,5,4,385.13,1,1,1,0,2
30349,11,1,45.71,1,0,1,1,1
30350,2,1,29.99,0,1,1,1,0
30351,7,2,152.56,0,1,2,0,1
30352,2,5,608.55,1,1,2,1,0
30353,10,3,247.64,1,0,0,0,0
30354,2,3,296.57,1,0,0,0,1
30355,10,2,103.67,1,0,1,1,1
30356,11,1,29.99,1,0,0,1,1
30357,9,1,57.6,1,0,0,1,1
30358,4,1,40.65,0,1,0,0,1
30359,8,3,277.16,1,0,1,0,0
30360,3,5,616.41,1,1,0,1,1
30361,1,3,312.33,0,1,0,0,1
30362,5,5,568.8,0,1,1,1,2
30363,1,2,142.07,1,0,0,1,0
30364,2,4,379.57,1,1,0,0,0
30365,1,6,849.81,1,0,0,1,1
30366,9,1,30.05,0,1,1,1,0
30367,2,1,29.99,0,1,0,0,0
30368,1,4,363.46,0,1,0,0,2
30369,4,3,277.25,1,0,1,0,2
30370,5,3,243.51,0,1,0,1,1
30371,8,3,208.73,0,1,1,0,0
30372,2,3,345.91,1,1,1,0,1
30373,2,2,144.14,1,0,1,0,1
30374,2,7,1329.42,0,1,1,1,0
30375,4,4,361.01,1,0,0,0,1
30376,8,3,254.37,1,0,0,1,0
30377,1,2,141.03,0,1,0,0,1
30378,1,6,766.9,0,1,0,1,0
30379,11,5,516.81,1,0,1,1,0
30380,5,2,133.89,1,0,2,1,1
30381,11,1,97.83,1,0,0,1,1
30382,5,6,823.11,1,1,1,1,2
30383,4,1,88.64,0,1,0,1,1
30384,9,2,121.6,1,0,1,1,1
30385,8,3,201.13,1,1,1,1,2
30386,3,4,454.73,1,0,1,0,1
30387,7,1,92.92,1,0,0,1,1
30388,12,1,38.83,1,0,1,0,1
30389,7,5,728.06,1,0,1,1,2
30390,10,1,29.99,0,1,0,0,1
30391,4,2,136.76,1,0,0,1,0
30392,1,7,1895.51,0,1,1,1,2
30393,12,1,29.99,1,0,0,1,1
30394,10,1,83.99,0,1,0,0,0
30395,2,1,95.29,1,0,0,0,1
30396,4,1,29.99,1,0,1,1,1
30397,5,2,135.41,0,1,0,0,0
30398,1,1,67.57,0,1,0,1,1
30399,4,5,584.33,0,1,0,1,1
30400,11,3,336.04,0,1,0,1,0
30401,5,1,58.53,1,0,1,0,0
30402,10,1,97.9,1,0,1,1,1
30403,9,3,249.41,1,1,1,0,0
30404,1,2,142.42,0,1,0,1,1
30405,1,4,350.4,1,1,2,0,0
30406,6,2,116.96,1,0,1,0,1
30407,2,4,406.51,1,1,1,0,2
30408,1,2,122.96,1,0,0,0,0
30409,4,1,42.73,0,1,1,1,1
30410,5,3,260.62,0,1,1,0,1
30411,12,3,315.2,1,1,0,0,0
30412,2,1,93.76,0,1,0,0,1
30413,2,1,82.52,1,0,2,1,0
30414,12,1,29.99,1,0,1,0,0
30415,8,2,121.56,0,1,1,0,0
30416,10,3,339.4,0,1,1,0,0
30417,4,2,124.48,1,0,1,0,0
30418,5,2,137.59,0,1,1,0,1
30419,3,4,401.92,0,1,1,0,0
30420,4,5,631.27,1,1,0,1,1
30421,11,1,31.45,0,1,0,0,0
30422,9,4,367.17,1,0,0,0,1
30423,1,7,1011.42,1,1,1,1,2
30424,12,5,645.38,0,1,0,1,1
30425,5,5,556.33,1,0,2,1,2
30426,9,2,130.25,1,0,1,0,1
30427,10,3,212.42,1,0,0,1,1
30428,10,4,456.11,0,1,1,0,0
30429,1,2,162.22,1,0,1,1,0
30430,2,2,101.03,0,1,1,1,1
30431,4,1,29.99,0,1,0,1,0
30432,12,1,34.59,1,0,0,1,0
30433,9,6,777.31,1,0,2,1,1
30434,1,3,342.12,0,1,1,1,0
30435,2,2,114.83,1,0,0,1,1
30436,3,1,64.21,0,1,0,0,0
30437,2,6,761.83,0,1,0,1,0
30438,9,2,146.11,1,0,1,0,0
30439,5,3,254.72,0,1,0,0,0
30440,3,1,60.51,0,1,0,0,1
30441,11,2,143.65,0,1,0,1,1
30442,5,1,54.13,0,1,1,0,0
30443,6,2,122.56,1,0,2,1,1
30444,5,5,523.8,1,1,1,1,1
30445,3,5,517.87,0,1,2,1,2
30446,11,1,29.99,0,1,1,1,0
30447,8,3,303.24,1,0,1,0,0
30448,1,3,320.14,1,0,1,0,0
30449,1,1,84.33,0,1,0,0,0
30450,3,1,29.99,0,1,0,1,1
30451,6,4,455.23,1,1,0,0,2
30452,1,2,114.78,0,1,1,0,0
30453,1,1,29.99,0,1,2,0,1
30454,10,5,575.12,0,1,1,1,1
30455,6,4,431.69,0,1,2,1,1
30456,12,1,29.99,0,1,0,1,0
30457,4,3,241.71,1,0,1,0,1
30458,3,3,275.54,1,1,0,1,2
30459,2,4,463.96,0,1,0,0,2
30460,2,3,302.58,1,0,1,1,1
30461,9,1,97.66,0,1,0,1,1
30462,11,1,49.96,0,1,2,0,1
30463,3,5,533.42,0,1,0,1,1
30464,11,3,225.36,0,1,1,0,1
30465,10,4,400.87,1,0,0,0,1
30466,4,4,370.67,1,0,1,0,2
30467,8,3,307.04,0,1,1,1,1
30468,2,5,630.49,1,0,0,1,1
30469,11,2,140.78,1,0,1,1,0
30470,1,3,317.29,1,1,2,1,0
30471,1,3,332.55,1,0,1,1,1
30472,1,5,669.65,1,1,1,1,0
30473,10,3,202.61,1,0,0,0,1
30474,8,4,496.8,1,1,2,0,2
30475,1,5,720.37,1,0,1,1,0
30476,10,1,81.01,0,1,0,1,0
30477,8,3,327.55,1,0,1,0,0
30478,8,1,90.51,1,0,0,0,1
30479,3,1,29.99,1,0,1,1,0
30480,11,2,122.94,0,1,1,1,0
30481,2,2,100.53,1,0,0,0,0
30482,9,1,29.99,1,0,1,0,1
30483,3,5,622.39,1,0,1,1,1
30484,10,3,244.03,0,1,0,0,2
30485,9,3,208.46,0,1,1,0,1
30486,7,1,29.99,1,0,1,0,1
30487,2,3,243.03,0,1,1,0,1
30488,10,1,29.99,1,0,0,0,1
30489,3,1,29.99,0,1,1,0,0
30490,2,4,492.87,1,1,0,1,1
30491,11,2,126.68,1,0,1,0,0
30492,10,1,45.09,1,0,0,1,1
30493,10,1,59.32,1,0,0,1,0
30494,9,1,37.13,1,0,0,1,0
30495,4,1,29.99,1,0,0,0,0
30496,1,2,153.71,0,1,1,1,1
30497,8,3,222.19,0,1,0,0,0
30498,5,3,282.48,0,1,0,0,1
30499,6,1,29.99,1,0,1,0,0
30500,12,1,29.99,0,1,2,1,0
30501,3,1,35.5,1,0,2,1,0
30502,6,3,232.94,1,0,1,1,2
30503,6,6,750.76,1,1,0,1,2
30504,5,4,411.95,0,1,0,0,1
30505,6,1,47.45,1,0,0,1,1
30506,6,2,151.15,0,1,0,1,0
30507,3,5,584.05,0,1,1,1,1
30508,2,2,104.35,0,1,1,1,1
30509,9,1,59.73,1,0,2,0,0
30510,3,3,235.64,1,1,1,0,1
30511,2,1,86.82,1,0,1,1,1
30512,5,2,108.12,1,0,1,1,1
30513,4,1,72.35,0,1,0,0,1
30514,12,1,94.35,0,1,0,1,1
30515,8,2,121.64,1,0,1,1,1
30516,10,3,231.98,0,1,1,0,0
30517,1,7,1404.7,1,0,1,1,0
30518,10,2,100.48,1,0,1,0,0
30519,12,1,29.99,1,0,1,0,1
30520,8,3,214.07,1,1,0,0,1
30521,10,3,212.6,1,1,0,1,0
30522,4,1,29.99,0,1,1,0,1
30523,9,1,63.26,0,1,0,0,1
30524,1,2,161.0,1,0,1,1,1
30525,4,1,29.99,1,0,0,0,1
30526,11,1,43.17,0,1,0,1,0
30527,4,2,160.98,1,0,1,1,1
30528,9,5,526.25,1,1,0,1,2
30529,1,2,127.36,0,1,2,1,0
30530,2,2,129.18,1,0,1,1,0
30531,6,6,860.66,1,1,0,1,2
30532,1,1,86.92,0,1,0,0,1
30533,1,7,1062.92,0,1,0,1,2
30534,12,2,139.44,1,0,0,1,1
30535,9,1,29.99,0,1,1,0,0
30536,1,3,209.24,0,1,1,0,0
30537,1,2,106.75,1,0,0,1,0
30538,10,4,411.49,1,0,1,0,2
30539,12,2,132.98,1,0,2,0,0
30540,1,3,217.29,0,1,0,0,1
30541,10,5,623.8,1,1,1,1,0
30542,12,2,185.69,1,0,0,0,0
30543,11,1,29.99,0,1,1,0,1
30544,10,1,29.99,0,1,1,0,0
30545,2,1,51.43,1,0,1,1,0
30546,7,2,170.83,1,0,1,0,1
30547,12,1,42.37,1,0,2,0,0
30548,7,3,200.74,1,0,1,0,0
30549,3,1,29.99,1,0,0,1,0
30550,7,3,268.01,1,0,0,0,0
30551,6,3,200.98,1,0,0,0,0
30552,3,2,111.17,1,0,0,1,1
30553,7,4,461.41,1,1,0,1,2
30554,10,1,35.91,1,0,1,0,1
30555,9,4,351.74,1,0,0,0,1
30556,4,6,942.83,1,1,1,1,2
30557,5,2,141.34,0,1,2,0,0
30558,7,2,156.68,0,1,0,1,0
30559,3,3,331.55,0,1,0,0,0
30560,2,2,192.14,1,0,1,0,1
30561,7,1,40.59,0,1,0,0,1
30562,11,2,128.77,1,0,0,0,0
30563,12,1,44.97,0,1,0,1,0
30564,3,2,197.71,1,0,0,0,0
30565,4,2,124.35,0,1,1,1,0
30566,10,1,29.99,0,1,1,0,1
30567,11,1,77.63,0,1,1,0,0
30568,1,1,89.0,1,0,0,0,0
30569,7,5,660.87,1,0,1,1,2
30570,2,2,175.69,1,0,1,0,0
30571,8,1,49.31,0,1,1,0,1
30572,2,1,29.99,1,0,1,1,0
30573,2,5,653.69,1,0,2,1,2
30574,5,1,44.66,0,1,1,0,0
30575,1,3,219.66,1,0,1,1,2
30576,3,5,647.34,1,0,0,1,1
30577,8,4,467.29,1,1,0,0,2
30578,5,3,306.62,0,1,1,0,0
30579,3,3,247.42,1,0,2,1,1
30580,8,1,49.45,0,1,0,1,1
30581,9,1,86.99,0,1,2,1,1
30582,1,3,237.72,1,1,0,0,1
30583,3,1,29.99,0,1,0,0,0
30584,1,2,147.18,1,0,1,0,0
30585,2,1,68.29,1,0,0,1,1
30586,8,1,29.99,1,0,2,1,0
30587,4,2,191.04,0,1,0,0,0
30588,11,4,481.67,1,1,0,0,2
30589,7,3,289.85,0,1,1,1,0
30590,2,7,1059.2,1,0,0,1,0
30591,8,2,199.54,1,0,1,0,0
30592,3,3,222.32,0,1,1,0,2
30593,10,1,99.95,1,0,0,1,0
30594,9,1,64.35,0,1,1,1,0
30595,2,2,119.63,1,0,2,1,1
30596,9,3,235.9,1,0,2,1,1
30597,2,4,432.09,1,0,2,0,2
30598,3,3,208.17,0,1,1,0,2
30599,9,3,208.16,0,1,1,1,2
30600,10,3,328.34,1,0,1,0,1
30601,10,1,29.99,0,1,0,1,1
30602,1,1,61.31,0,1,1,0,1
30603,7,2,165.76,1,0,1,1,1
30604,5,3,234.72,0,1,0,1,1
30605,10,2,113.55,1,0,2,0,1
30606,1,2,131.01,0,1,1,0,0
30607,5,4,425.23,0,1,1,0,2
30608,9,4,459.02,0,1,0,0,2
30609,2,4,472.16,0,1,1,0,2
30610,5,4,368.58,1,0,0,0,2
30611,9,1,29.99,1,0,2,1,0
30612,10,3,330.61,0,1,1,0,2
30613,2,3,231.15,1,0,0,0,1
30614,2,5,569.69,0,1,0,1,0
30615,4,1,43.03,0,1,0,0,0
30616,3,3,303.5,1,0,1,0,0
30617,5,5,730.65,1,1,0,1,0
30618,7,5,687.56,0,1,0,1,0
30619,8,5,550.05,0,1,1,1,1
30620,3,4,448.76,1,0,1,0,1
30621,3,6,760.35,0,1,0,1,2
30622,9,1,34.31,1,0,1,1,1
30623,4,1,64.74,0,1,0,1,1
30624,9,2,100.24,1,0,1,0,1
30625,5,2,197.69,1,0,1,1,0
30626,6,1,55.63,0,1,2,1,0
30627,1,2,140.1,1,0,0,1,0
30628,5,2,189.96,1,0,1,1,0
30629,1,1,51.72,0,1,0,1,1
30630,7,2,104.24,1,0,0,1,1
30631,8,1,65.59,0,1,0,1,0
30632,3,2,167.44,1,0,1,0,1
30633,2,2,141.42,0,1,1,1,1
30634,5,5,608.53,1,1,1,1,0
30635,2,5,632.02,1,1,0,1,2
30636,2,3,339.05,0,1,1,0,1
30637,10,3,332.8,1,0,0,0,0
30638,6,4,408.42,0,1,1,1,2
30639,1,2,178.29,0,1,2,0,0
30640,8,2,173.14,1,0,0,0,0
30641,4,5,578.53,1,1,0,1,1
30642,3,5,632.57,0,1,0,1,1
30643,10,1,29.99,0,1,1,1,0
30644,8,1,29.99,0,1,2,0,1
30645,10,4,407.1,0,1,0,1,2
30646,2,3,336.7,1,0,0,0,1
30647,11,5,579.76,1,0,1,1,1
30648,7,2,127.87,1,0,2,0,1
30649,1,4,486.66,1,0,1,0,1
30650,1,3,313.89,1,0,1,1,0
30651,7,1,29.99,1,0,1,0,0
30652,5,1,59.4,1,0,1,0,1
30653,10,1,75.58,0,1,1,1,1
30654,11,1,70.6,1,0,0,1,1
30655,1,3,218.87,0,1,1,0,1
30656,2,1,51.79,1,0,2,0,1
30657,4,1,75.56,1,0,1,1,0
30658,4,3,291.52,1,1,0,1,1
30659,5,1,83.45,1,0,0,0,0
30660,11,3,281.74,1,0,0,0,0
30661,3,5,678.11,1,1,1,1,2
30662,1,2,187.15,0,1,2,0,0
30663,9,2,143.26,0,1,0,1,1
