id,recency,history_segment,history,mens,womens,region,newbie,channel,treatment,conversion
139,3,4,410.59,0,1,0,0,0,2,0
140,4,1,44.72,0,1,2,1,1,2,0
141,2,2,186.89,1,0,1,0,1,2,0
142,3,1,44.62,0,1,1,0,0,2,0
143,5,1,46.25,1,0,0,1,1,1,0
144,10,2,179.63,1,0,0,0,1,2,0
145,10,1,47.33,1,0,1,1,1,1,0
146,6,1,73.4,1,0,2,1,1,2,0
147,8,6,769.49,1,0,1,1,2,2,0
148,11,1,88.21,1,0,1,1,1,0,0
149,6,1,57.12,1,0,0,1,1,2,0
150,10,2,122.62,1,0,1,1,1,1,0
151,6,2,123.59,0,1,0,0,0,0,0
152,4,2,123.76,0,1,1,1,1,0,0
153,2,5,575.01,0,1,0,1,2,2,0
154,10,4,398.94,0,1,1,1,1,2,0
155,12,6,911.23,0,1,2,1,0,1,0
156,6,1,29.99,1,0,0,0,0,2,0
157,10,1,29.99,1,0,1,0,1,0,0
158,3,1,51.12,0,1,0,0,1,2,0
159,5,3,237.2,0,1,1,1,2,2,0
160,1,1,53.82,1,0,2,0,0,0,0
161,2,1,29.99,0,1,0,1,0,1,0
162,1,3,245.36,1,0,0,0,0,1,0
163,10,4,351.97,1,0,0,0,1,2,0
164,1,3,306.1,1,0,1,1,1,2,0
165,9,3,285.21,1,0,1,1,1,1,1
166,1,7,1072.86,1,1,1,1,2,1,0
167,9,1,70.15,0,1,0,0,1,1,0
168,6,1,33.73,0,1,1,1,1,0,0
169,7,3,217.87,1,0,1,1,0,1,0
170,11,2,110.68,1,0,1,0,0,0,0
171,10,2,104.17,1,0,0,1,0,2,0
172,6,5,514.31,1,1,0,1,1,0,0
173,11,4,355.57,0,1,0,0,0,1,0
174,2,1,91.14,0,1,2,1,1,0,0
175,7,3,303.5,0,1,1,0,0,0,0
176,9,2,110.75,0,1,1,0,1,1,0
177,10,1,29.99,0,1,1,1,0,0,0
178,8,2,156.37,0,1,1,0,0,2,0
179,6,5,670.6,1,0,1,1,1,0,0
180,9,2,107.36,1,0,1,0,1,2,0
181,4,3,210.56,1,0,0,1,0,0,0
182,3,3,249.61,0,1,2,1,0,0,0
183,1,2,137.73,1,0,1,0,0,2,0
184,1,5,630.27,0,1,1,1,2,2,0
185,3,7,1486.76,1,1,0,1,2,1,0
186,5,4,447.01,1,0,1,0,2,2,0
187,5,2,115.59,0,1,0,0,0,1,0
188,4,3,306.87,1,1,0,0,1,0,0
189,6,1,54.48,1,0,2,1,1,0,0
190,1,2,119.12,0,1,1,1,0,2,0
191,7,3,235.93,1,1,0,1,1,0,0
192,3,1,77.37,0,1,0,1,0,1,0
193,4,1,40.52,0,1,0,1,1,2,0
194,2,1,35.98,1,0,0,0,1,1,0
195,5,3,234.88,1,0,0,0,2,1,0
196,1,5,693.16,1,1,1,1,1,1,0
197,10,1,29.99,1,0,1,0,1,2,0
198,8,2,112.84,0,1,0,0,0,1,0
199,2,4,353.69,1,0,2,0,1,0,0
200,10,1,63.04,0,1,1,1,1,0,0
201,9,1,29.99,0,1,0,1,0,2,0
202,7,3,267.68,1,0,2,0,1,1,0
203,2,4,499.7,1,1,1,0,2,2,0
204,8,1,40.35,0,1,0,1,1,0,0
205,4,2,114.44,1,0,0,1,0,1,0
206,1,6,897.27,0,1,1,1,0,0,0
207,8,3,240.74,0,1,1,0,0,0,0
208,1,1,79.81,1,0,1,1,1,1,0
209,11,4,439.25,1,1,0,0,0,1,0
210,5,1,41.59,0,1,1,1,1,0,0
211,7,1,96.43,0,1,0,0,1,2,0
212,6,1,96.68,1,0,1,1,0,2,0
213,10,1,54.03,1,0,1,0,0,1,0
214,9,1,29.99,1,0,1,0,1,2,0
215,1,5,643.54,1,1,1,1,1,1,0
216,9,3,275.04,1,0,2,1,1,2,0
217,9,1,66.91,0,1,0,1,1,0,0
218,12,2,150.07,1,0,1,0,0,2,0
219,2,1,63.96,1,0,0,0,1,2,0
220,3,1,55.73,1,0,0,0,0,0,0
221,10,1,47.81,0,1,2,1,1,0,0
222,2,2,130.58,0,1,0,0,1,1,0
223,9,2,148.84,1,0,0,1,1,1,0
224,3,2,126.52,0,1,0,1,1,0,0
225,2,1,71.8,0,1,0,1,1,2,0
226,4,3,276.33,1,0,1,1,0,1,1
227,6,5,646.65,0,1,1,1,0,0,0
228,10,3,224.4,1,0,0,0,2,0,0
229,10,3,231.11,1,0,0,0,1,2,0
230,4,1,79.1,0,1,1,1,0,0,0
231,1,1,29.99,0,1,1,0,0,0,0
232,2,1,46.47,0,1,1,1,0,0,0
233,2,2,104.25,1,0,1,0,0,0,0
234,3,3,249.49,1,1,1,0,1,0,0
235,10,1,76.24,0,1,0,0,1,0,0
236,9,3,235.17,1,1,0,0,2,2,0
237,4,1,69.39,1,0,1,1,0,2,0
238,4,3,211.97,1,0,0,1,2,2,0
239,1,4,357.41,0,1,2,0,2,0,0
240,10,2,134.53,0,1,0,0,1,2,0
241,5,1,81.37,1,0,0,1,1,0,0
242,2,5,636.53,1,1,1,1,2,1,0
243,10,2,147.42,1,0,2,1,0,2,0
244,1,2,115.53,0,1,0,1,1,2,0
245,6,2,198.11,0,1,0,0,1,1,0
246,2,3,220.37,1,1,1,1,0,2,0
247,1,5,674.02,1,0,1,1,0,0,0
248,12,3,200.59,1,1,1,1,2,1,0
249,3,3,346.96,1,0,1,0,1,0,0
250,10,2,181.04,1,0,0,0,0,1,0
251,5,3,221.71,1,0,1,1,0,2,0
252,2,4,394.91,1,0,0,1,1,2,0
253,1,7,2145.81,1,0,0,1,2,2,0
254,1,5,705.6,0,1,1,1,0,2,0
255,1,1,81.37,1,0,1,0,1,2,0
256,8,2,132.44,0,1,0,1,0,2,0
257,5,3,334.19,1,1,1,0,1,1,0
258,10,1,29.99,1,0,1,1,0,0,0
259,11,1,53.07,0,1,0,0,0,2,0
260,1,5,668.48,1,0,0,1,2,2,0
261,10,1,29.99,1,0,0,1,0,1,0
262,2,5,510.18,1,1,0,1,0,1,0
263,7,2,172.55,0,1,1,1,1,2,0
264,12,1,53.52,1,0,0,0,1,0,0
265,1,6,833.45,1,0,0,1,2,2,0
266,3,4,352.18,0,1,0,0,0,2,0
267,6,4,370.19,0,1,0,0,0,2,0
268,11,1,82.24,1,0,1,0,1,2,0
269,1,6,790.36,1,1,0,1,2,1,0
270,4,2,147.2,1,0,2,1,0,0,0
271,1,4,468.43,0,1,0,0,2,1,0
272,2,1,29.99,0,1,0,1,1,0,0
273,5,2,156.34,1,0,0,0,0,1,0
274,9,6,886.11,1,1,2,1,1,1,0
275,8,3,235.22,0,1,0,1,1,0,0
276,3,1,36.04,0,1,1,0,0,1,0
277,9,2,104.96,0,1,1,1,0,0,0
278,5,2,144.14,0,1,2,1,0,0,0
279,3,1,92.53,0,1,0,1,0,1,0
280,1,4,350.17,1,0,0,1,1,1,0
281,11,5,522.99,1,0,1,1,0,0,0
282,10,3,323.84,0,1,1,0,1,2,0
283,9,3,292.77,0,1,0,1,0,0,0
284,12,1,29.99,0,1,0,1,1,2,0
285,10,1,29.99,0,1,0,1,1,2,0
286,8,2,106.18,0,1,0,1,1,1,0
287,9,1,29.99,1,0,0,1,0,0,0
288,11,5,600.6,1,1,1,1,0,2,0
289,3,1,68.07,0,1,2,1,0,2,0
290,10,1,29.99,0,1,1,1,1,1,0
291,3,5,610.75,1,1,0,1,2,0,0
292,11,1,92.46,1,0,2,1,1,0,0
293,8,1,62.49,0,1,2,1,0,0,0
294,2,1,29.99,1,0,0,1,1,1,0
295,4,4,404.9,1,0,0,0,0,2,0
296,2,3,276.26,1,1,1,0,1,2,0
297,1,7,1213.99,1,1,0,1,2,2,0
298,7,5,603.78,1,0,0,1,0,1,0
299,2,3,247.16,1,0,0,0,0,1,0
300,5,2,104.63,0,1,1,0,1,2,0
301,2,7,1040.86,1,0,0,1,0,2,0
302,11,1,76.17,1,0,1,0,1,1,0
303,8,1,40.53,1,0,0,1,1,0,0
304,12,1,73.85,1,0,0,1,1,1,0
305,8,1,29.99,1,0,0,1,1,1,0
306,1,4,450.19,0,1,1,1,0,2,0
307,7,2,136.67,1,0,2,0,1,2,0
308,5,5,647.25,1,1,0,1,0,2,0
309,5,1,70.7,0,1,1,1,1,1,0
310,6,1,72.52,0,1,0,0,0,1,0
311,9,3,225.88,1,0,0,0,0,2,0
312,3,3,213.91,1,0,2,0,1,2,0
313,1,1,29.99,1,0,0,0,1,0,0
314,9,2,140.91,1,0,1,1,1,0,0
315,10,1,29.99,1,0,2,0,1,2,0
316,6,2,191.76,1,0,0,1,1,1,0
317,8,3,291.71,1,0,0,0,1,2,0
318,4,4,418.46,1,0,0,0,1,1,0
319,5,1,64.46,0,1,1,1,1,0,0
320,6,5,607.65,1,0,0,1,0,2,0
321,2,3,277.54,0,1,1,0,2,2,0
322,8,2,145.9,0,1,1,0,1,2,0
323,6,6,953.64,1,1,1,1,1,0,0
324,7,4,492.21,1,0,0,0,0,2,0
325,1,3,206.73,0,1,0,0,2,0,0
326,2,1,75.26,0,1,0,1,1,1,0
327,7,1,42.42,0,1,1,0,0,0,0
328,5,1,46.45,0,1,0,0,0,1,0
329,11,3,343.3,1,1,1,0,0,0,0
330,3,2,135.0,0,1,0,1,0,1,0
331,12,2,135.65,1,0,2,0,0,2,0
332,2,2,157.45,1,0,2,0,1,1,0
333,3,2,197.13,1,0,1,1,1,1,0
334,6,3,299.66,1,0,2,0,1,0,0
335,3,2,130.59,1,0,1,0,0,1,0
336,3,6,839.48,1,1,0,1,2,1,0
337,9,2,192.27,0,1,1,0,1,0,0
338,9,3,310.87,1,1,1,0,1,2,0
339,1,6,758.07,0,1,1,1,2,0,0
340,9,1,29.99,0,1,0,0,0,1,0
341,4,2,159.09,0,1,1,1,0,2,0
342,5,3,282.76,0,1,0,1,2,1,0
343,12,1,29.99,1,0,2,1,0,1,0
344,11,1,29.99,1,0,1,1,0,1,0
345,2,2,175.82,1,0,1,0,1,0,0
346,1,1,29.99,0,1,1,0,0,1,0
347,12,5,694.31,0,1,0,1,1,2,0
348,1,1,74.63,0,1,1,0,1,2,0
349,8,1,84.44,1,0,1,0,1,2,0
350,10,1,97.34,1,0,1,0,1,1,0
351,1,4,366.55,0,1,1,0,0,1,0
352,4,1,60.04,0,1,1,0,1,2,0
353,8,1,46.08,0,1,1,1,1,1,0
354,9,1,29.99,0,1,2,1,0,1,0
355,8,3,258.79,0,1,1,0,2,2,0
356,5,3,338.74,0,1,1,0,2,2,0
357,5,1,42.03,0,1,0,0,1,0,0
358,1,2,106.12,0,1,1,0,0,0,0
359,1,4,462.44,1,0,0,0,1,0,0
360,9,1,63.36,0,1,0,1,0,1,0
361,2,3,208.18,0,1,1,0,2,0,0
362,1,2,113.89,0,1,1,0,1,1,0
363,6,3,206.11,1,1,0,0,0,1,0
364,9,4,388.62,1,1,0,1,0,2,0
365,3,4,449.77,0,1,0,1,2,1,0
366,9,1,76.61,1,0,2,0,1,2,0
367,11,1,29.99,0,1,2,0,1,2,0
368,2,3,219.43,0,1,1,1,2,0,0
369,2,2,118.4,1,0,1,0,0,1,0
370,9,1,89.96,1,0,1,0,0,1,0
371,5,4,489.32,1,0,1,0,1,1,0
372,2,6,879.73,1,1,0,1,2,0,0
373,10,3,211.71,1,0,0,1,0,0,0
374,2,1,59.5,0,1,1,1,1,0,0
375,1,5,560.62,1,0,0,1,1,0,0
376,10,1,39.06,0,1,2,0,1,2,0
377,4,5,521.08,1,1,0,1,1,2,0
378,9,2,176.01,1,0,2,0,1,1,0
379,6,2,121.3,0,1,1,0,1,1,0
380,1,1,29.99,1,0,0,0,0,1,0
381,3,1,29.99,0,1,1,1,1,0,0
382,3,2,140.08,0,1,0,1,1,0,0
383,4,2,166.68,1,0,1,0,0,1,1
384,4,4,477.78,1,1,0,0,1,2,0
385,6,2,106.18,0,1,0,0,1,2,0
386,10,3,222.08,1,0,0,0,0,0,0
387,1,1,68.83,1,0,0,1,0,2,0
388,5,1,49.59,0,1,1,0,0,2,0
389,9,2,152.8,0,1,1,1,1,2,0
390,2,2,158.9,1,0,1,1,1,2,0
391,2,1,29.99,0,1,1,1,1,2,0
392,11,1,29.99,0,1,1,0,0,2,0
393,11,3,327.77,1,0,2,0,0,2,0
394,6,2,167.1,0,1,0,1,1,0,0
395,2,1,59.95,0,1,0,1,0,1,0
396,10,1,29.99,1,0,2,0,1,1,0
397,3,2,104.26,1,0,0,1,0,1,0
398,2,1,29.99,0,1,1,1,1,1,0
399,1,2,118.58,0,1,0,0,0,1,0
400,9,6,837.81,1,0,1,1,2,2,0
401,5,1,50.63,1,0,0,0,1,1,0
402,2,3,209.17,1,0,2,1,1,2,0
403,1,1,82.72,1,0,0,1,1,2,0
404,6,1,29.99,1,0,1,1,0,2,0
405,2,5,687.74,1,0,1,1,2,1,0
406,10,1,82.15,0,1,0,1,1,0,0
407,9,2,112.83,0,1,0,0,1,0,0
408,11,1,68.68,1,0,0,0,1,0,1
409,5,6,828.42,1,0,1,1,2,1,0
410,10,1,72.67,0,1,0,1,0,1,0
411,7,1,29.99,0,1,2,1,1,0,0
412,11,2,103.94,1,0,1,0,1,2,0
413,9,3,228.83,0,1,1,0,0,1,0
414,2,3,232.51,0,1,2,0,0,0,0
415,4,3,342.38,1,0,0,0,0,0,0
416,3,1,58.64,1,0,0,1,1,0,0
417,1,2,191.67,1,0,1,0,0,2,0
418,7,4,418.77,0,1,1,0,2,0,0
419,4,1,29.99,0,1,0,1,0,0,0
420,3,2,117.05,0,1,1,0,1,1,0
421,11,2,101.97,0,1,0,0,1,0,0
422,12,2,198.06,0,1,0,0,0,1,0
423,9,3,281.46,0,1,1,0,0,2,0
424,10,1,60.43,0,1,1,0,0,1,0
425,10,4,358.34,1,0,1,1,2,1,0
426,3,3,321.33,0,1,0,0,1,1,0
427,9,5,723.22,0,1,1,1,2,2,0
428,1,4,350.72,1,1,1,0,1,2,0
429,9,3,222.37,1,0,2,0,1,0,0
430,3,2,127.41,1,0,0,0,0,1,0
431,2,1,36.43,0,1,0,1,0,0,0
432,8,5,712.94,1,1,0,1,0,1,0
433,7,1,63.49,0,1,1,1,0,1,0
434,4,3,269.79,1,0,1,1,1,2,0
435,1,1,84.43,1,0,2,1,0,2,0
436,2,1,59.58,0,1,0,0,0,2,0
437,10,3,310.86,0,1,1,0,2,1,0
438,12,3,348.25,1,0,2,0,2,0,0
439,4,1,29.99,1,0,0,0,1,2,0
440,1,1,80.42,0,1,0,1,1,2,0
441,11,1,68.7,0,1,0,1,0,2,0
442,9,1,34.8,1,0,0,1,1,2,0
443,2,1,42.17,1,0,1,0,0,0,0
444,5,6,826.93,1,1,0,1,0,1,0
445,2,5,519.96,1,1,0,1,1,2,0
446,2,5,613.94,1,0,1,1,1,1,0
447,10,3,255.75,0,1,1,1,1,1,0
448,5,1,29.99,1,0,1,0,1,0,0
449,3,3,291.16,0,1,1,1,1,1,0
450,6,2,104.59,1,0,2,0,0,2,0
451,1,5,510.19,0,1,0,1,2,0,0
452,10,1,93.52,1,0,1,1,1,0,0
453,8,1,37.76,1,0,2,0,1,1,0
454,2,3,232.97,0,1,1,1,0,2,0
455,6,4,430.4,1,1,1,0,2,2,0
456,12,1,78.03,1,0,1,0,0,0,0
457,9,1,29.99,1,0,2,1,1,0,0
458,8,3,304.68,0,1,1,0,0,2,0
459,2,1,59.29,0,1,0,0,1,0,0
460,10,3,296.97,1,1,1,0,0,0,0
461,6,1,29.99,0,1,1,0,1,0,0
462,10,4,419.37,0,1,1,1,1,0,0
463,3,3,208.0,0,1,2,1,0,1,0
464,7,1,47.84,0,1,1,1,0,1,0
465,2,6,854.36,1,0,0,1,1,0,0
466,6,3,253.92,1,0,0,0,2,1,0
467,10,1,67.39,0,1,1,1,1,0,0
468,4,3,238.94,1,0,0,1,0,1,0
469,8,1,52.64,0,1,1,1,0,0,0
470,3,7,1165.9,0,1,0,1,2,1,0
471,10,1,29.99,0,1,0,1,1,2,0
472,6,2,102.53,1,0,2,1,1,1,0
473,11,3,242.71,0,1,1,1,0,1,0
474,3,2,148.15,1,0,2,0,1,0,0
475,8,1,94.3,1,0,0,1,1,2,0
476,10,2,148.18,1,0,2,0,0,1,0
477,7,1,29.99,1,0,0,1,0,0,0
478,7,1,29.99,0,1,1,0,0,2,0
479,8,1,59.76,0,1,0,1,0,1,0
480,12,3,277.62,1,0,0,1,1,0,0
481,1,1,63.91,1,0,1,0,0,0,0
482,10,2,121.22,1,0,1,1,1,2,0
483,2,6,977.66,1,0,1,1,1,1,0
484,9,1,29.99,0,1,0,1,0,0,0
485,3,7,2809.79,1,0,1,1,2,2,0
486,5,1,52.56,0,1,2,0,0,2,1
487,1,6,996.8,1,1,0,1,0,1,0
488,1,7,1177.46,1,1,0,1,0,2,0
489,7,4,406.54,1,0,1,0,1,0,0
490,2,5,502.75,1,0,2,1,2,1,0
491,10,2,100.16,0,1,1,0,0,0,0
492,1,1,86.98,1,0,0,0,0,2,0
493,8,2,177.9,1,0,1,0,0,2,0
494,6,1,53.1,1,0,0,0,1,1,0
495,4,5,622.04,1,1,1,1,1,0,0
496,5,3,292.43,0,1,0,1,0,0,0
497,1,3,316.05,1,0,1,1,0,1,0
498,10,2,141.52,1,0,2,0,0,2,0
499,1,6,898.57,1,0,0,1,1,1,0
500,4,1,65.08,0,1,0,0,1,1,0
501,11,5,642.1,1,0,0,1,0,0,0
502,9,1,45.91,0,1,0,1,1,1,0
503,7,2,155.12,1,0,2,0,1,1,0
504,10,1,29.99,0,1,1,1,1,2,0
505,8,1,29.99,0,1,0,0,0,2,0
506,10,1,65.42,1,0,1,0,1,0,0
507,10,1,50.23,1,0,0,0,0,1,0
508,9,7,1085.63,1,1,0,1,1,2,0
509,9,1,29.99,0,1,1,1,1,1,0
510,1,5,633.46,1,1,2,1,2,1,0
511,6,2,181.81,1,0,1,1,1,2,0
512,5,2,133.19,0,1,1,1,0,0,0
513,7,3,237.48,0,1,1,1,2,1,0
514,2,5,599.19,0,1,1,1,2,1,1
515,9,2,197.85,1,0,1,1,0,2,0
516,10,2,137.36,1,0,1,1,0,1,0
517,5,2,195.82,1,0,1,1,1,1,0
518,6,2,160.09,1,0,0,0,0,2,0
519,1,5,602.33,1,1,1,1,1,0,0
520,1,3,229.78,1,0,1,1,1,1,0
521,3,4,355.9,1,1,1,1,1,1,0
522,2,7,1201.57,0,1,1,1,2,1,0
523,9,1,29.99,0,1,0,1,1,1,0
524,3,2,156.07,1,0,0,1,1,1,0
525,2,2,196.86,1,0,0,1,0,2,0
526,4,2,131.35,0,1,1,0,0,1,0
527,10,2,118.8,1,0,1,1,0,0,0
528,1,4,400.39,0,1,2,0,2,0,0
529,2,4,368.12,1,0,1,1,1,0,0
530,10,2,119.41,1,0,1,0,0,2,0
531,11,2,156.61,0,1,2,1,1,0,0
532,7,1,29.99,1,0,1,0,1,0,0
533,6,1,64.53,1,0,2,1,1,0,0
534,2,1,45.54,1,0,1,1,0,1,0
535,6,5,549.44,1,0,0,1,2,2,0
536,9,5,556.57,1,1,0,1,1,0,0
537,10,1,73.61,1,0,2,1,1,2,0
538,10,1,29.99,0,1,1,1,1,2,0
539,8,3,334.77,0,1,0,0,2,1,0
540,1,3,296.88,0,1,1,0,1,0,0
541,2,3,220.84,1,1,0,0,1,0,0
542,11,1,97.72,0,1,1,0,0,0,0
543,3,3,314.75,1,0,1,1,0,1,0
544,2,3,330.05,0,1,1,1,1,0,0
545,6,5,621.76,0,1,2,1,2,0,0
546,1,5,591.64,1,1,0,1,0,0,0
547,9,4,379.05,1,0,1,0,0,2,0
548,10,1,95.38,0,1,0,0,1,2,0
549,10,2,139.41,0,1,1,0,0,2,0
550,3,4,447.63,1,1,1,1,1,1,0
551,12,2,183.87,0,1,0,1,1,1,0
552,8,3,286.25,0,1,0,1,2,2,0
553,6,3,228.7,1,0,0,1,0,0,0
554,3,2,107.96,0,1,0,0,0,2,0
555,11,1,29.99,0,1,1,1,0,2,0
556,10,1,93.85,0,1,0,0,0,2,0
557,5,5,594.48,1,1,0,1,2,2,0
558,2,2,154.26,0,1,1,0,0,1,0
559,6,3,282.07,0,1,2,1,1,1,0
560,7,3,220.12,0,1,0,1,1,1,0
561,12,3,239.61,0,1,0,1,0,0,0
562,5,3,319.01,1,0,1,0,2,2,0
563,4,1,89.36,1,0,2,1,0,0,0
564,8,4,435.54,1,0,2,0,1,2,0
565,4,1,29.99,0,1,1,1,1,2,0
566,3,5,549.93,0,1,1,1,2,1,0
567,4,1,55.19,0,1,1,1,1,1,0
568,5,1,87.09,0,1,1,0,0,1,0
569,1,3,290.71,0,1,2,1,1,0,0
570,10,3,289.63,1,0,1,0,1,2,0
571,5,3,349.94,0,1,1,1,1,1,0
572,10,1,88.18,1,0,0,1,1,2,0
573,3,2,152.05,1,0,0,0,0,1,0
574,6,3,215.38,1,0,2,0,1,2,0
575,5,4,380.12,1,1,0,0,0,0,0
576,10,2,173.82,0,1,0,1,1,1,0
577,1,3,258.88,1,0,1,0,2,2,0
578,10,2,129.19,0,1,2,0,0,2,0
579,5,1,64.37,1,0,1,0,0,0,0
